230 Insertion 4530: Time = 1700 ns, Operations = 55
231 Insertion 4763: Time = 5900 ns, Operations = 55
232 Insertion 2639: Time = 1600 ns, Operations = 55
233 Insertion 5748: Time = 1600 ns, Operations = 55
234 Insertion 1007: Time = 1600 ns, Operations = 55
235 Insertion 5757: Time = 3400 ns, Operations = 55
236 Insertion 5128: Time = 36300 ns, Operations = 59
237 Insertion 3431: Time = 1800 ns, Operations = 59
238 Insertion 6143: Time = 1500 ns, Operations = 55
239 Insertion 5462: Time = 1400 ns, Operations = 55
240 Insertion 370: Time = 1400 ns, Operations = 55
241 Insertion 8849: Time = 1400 ns, Operations = 59
242 Insertion 712: Time = 1100 ns, Operations = 59
243 Insertion 2990: Time = 1000 ns, Operations = 55
244 Insertion 7007: Time = 1100 ns, Operations = 55
245 Insertion 9403: Time = 1100 ns, Operations = 55
246 Insertion 7138: Time = 1300 ns, Operations = 59
247 Insertion 9205: Time = 1000 ns, Operations = 59
248 Insertion 1627: Time = 1200 ns, Operations = 55
249 Insertion 536: Time = 2000 ns, Operations = 55
250 Insertion 5325: Time = 1300 ns, Operations = 55
251 Insertion 596: Time = 1400 ns, Operations = 59
252 Insertion 6658: Time = 2200 ns, Operations = 59
253 Insertion 6411: Time = 7400 ns, Operations = 55
254 Insertion 4911: Time = 2000 ns, Operations = 55
255 Insertion 6861: Time = 2300 ns, Operations = 55
256 Insertion 5983: Time = 4200 ns, Operations = 59
257 Insertion 9894: Time = 1600 ns, Operations = 59
258 Insertion 9833: Time = 1200 ns, Operations = 55
259 Insertion 1236: Time = 1100 ns, Operations = 55
260 Insertion 6658: Time = 1700 ns, Operations = 55
261 Insertion 8926: Time = 2400 ns, Operations = 59
262 Insertion 8052: Time = 1700 ns, Operations = 59
263 Insertion 759: Time = 1600 ns, Operations = 55
264 Insertion 9372: Time = 1800 ns, Operations = 55
265 Insertion 3370: Time = 1300 ns, Operations = 55
266 Insertion 8749: Time = 1400 ns, Operations = 59
267 Insertion 4457: Time = 1200 ns, Operations = 59
268 Insertion 8058: Time = 1000 ns, Operations = 55
269 Insertion 6202: Time = 1000 ns, Operations = 55
270 Insertion 9371: Time = 1000 ns, Operations = 55
271 Insertion 9372: Time = 1400 ns, Operations = 55
272 Insertion 6028: Time = 1300 ns, Operations = 55
273 Insertion 4885: Time = 1000 ns, Operations = 55
274 Insertion 905: Time = 1100 ns, Operations = 55
275 Insertion 3212: Time = 1200 ns, Operations = 59
276 Insertion 2705: Time = 1100 ns, Operations = 59
277 Insertion 2154: Time = 1100 ns, Operations = 55
278 Insertion 5204: Time = 1100 ns, Operations = 55
279 Insertion 2713: Time = 1100 ns, Operations = 55
280 Insertion 6177: Time = 1100 ns, Operations = 59
281 Insertion 408: Time = 1100 ns, Operations = 59
282 Insertion 66: Time = 1100 ns, Operations = 55
283 Insertion 3885: Time = 900 ns, Operations = 55
284 Insertion 7478: Time = 1000 ns, Operations = 55
285 Insertion 4937: Time = 1100 ns, Operations = 59
286 Insertion 3709: Time = 1000 ns, Operations = 59
287 Insertion 2796: Time = 900 ns, Operations = 55
288 Insertion 4872: Time = 900 ns, Operations = 55
289 Insertion 2665: Time = 800 ns, Operations = 55
290 Insertion 4795: Time = 900 ns, Operations = 59
291 Insertion 9192: Time = 1000 ns, Operations = 59
292 Insertion 4116: Time = 900 ns, Operations = 55
293 Insertion 5124: Time = 900 ns, Operations = 55
294 Insertion 8523: Time = 900 ns, Operations = 55
295 Insertion 4148: Time = 1000 ns, Operations = 59
296 Insertion 1496: Time = 1200 ns, Operations = 59
297 Insertion 2493: Time = 1000 ns, Operations = 55
298 Insertion 7646: Time = 1200 ns, Operations = 55
299 Insertion 6801: Time = 1000 ns, Operations = 55
300 Insertion 3133: Time = 1300 ns, Operations = 59
301 Insertion 2716: Time = 1100 ns, Operations = 59
302 Insertion 8880: Time = 1000 ns, Operations = 55
303 Insertion 3652: Time = 1000 ns, Operations = 55
304 Insertion 4034: Time = 1000 ns, Operations = 55
305 Insertion 7183: Time = 1000 ns, Operations = 59
306 Insertion 9154: Time = 900 ns, Operations = 59
307 Insertion 7224: Time = 900 ns, Operations = 55
308 Insertion 7729: Time = 1900 ns, Operations = 55
309 Insertion 2417: Time = 1600 ns, Operations = 55
310 Insertion 9845: Time = 1600 ns, Operations = 55
311 Insertion 5696: Time = 1600 ns, Operations = 55
312 Insertion 8464: Time = 1700 ns, Operations = 55
313 Insertion 3559: Time = 1500 ns, Operations = 55
314 Insertion 2116: Time = 1700 ns, Operations = 59
315 Insertion 645: Time = 1700 ns, Operations = 59
316 Insertion 4838: Time = 1700 ns, Operations = 55
317 Insertion 9687: Time = 1700 ns, Operations = 55
318 Insertion 8302: Time = 1800 ns, Operations = 55
319 Insertion 2669: Time = 2800 ns, Operations = 59
320 Insertion 3111: Time = 1300 ns, Operations = 59
321 Insertion 1540: Time = 1200 ns, Operations = 55
322 Insertion 4479: Time = 1600 ns, Operations = 55
323 Insertion 6829: Time = 1200 ns, Operations = 55
324 Insertion 3070: Time = 1200 ns, Operations = 59
325 Insertion 3828: Time = 1100 ns, Operations = 59
326 Insertion 651: Time = 1100 ns, Operations = 55
327 Insertion 6645: Time = 1000 ns, Operations = 55
328 Insertion 183: Time = 1000 ns, Operations = 55
329 Insertion 178: Time = 1000 ns, Operations = 59
330 Insertion 9830: Time = 1000 ns, Operations = 59
331 Insertion 297: Time = 1000 ns, Operations = 55
332 Insertion 7926: Time = 1400 ns, Operations = 55
333 Insertion 3599: Time = 1100 ns, Operations = 55
334 Insertion 7635: Time = 1200 ns, Operations = 59
335 Insertion 241: Time = 1400 ns, Operations = 59
336 Insertion 9239: Time = 1000 ns, Operations = 55
337 Insertion 9940: Time = 1100 ns, Operations = 55
338 Insertion 6886: Time = 1400 ns, Operations = 55
339 Insertion 3302: Time = 1200 ns, Operations = 59
340 Insertion 5267: Time = 1100 ns, Operations = 59
341 Insertion 5122: Time = 1400 ns, Operations = 55
342 Insertion 3304: Time = 1500 ns, Operations = 55
343 Insertion 4428: Time = 900 ns, Operations = 55
344 Insertion 3723: Time = 1200 ns, Operations = 59
345 Insertion 9163: Time = 1000 ns, Operations = 59
346 Insertion 7527: Time = 900 ns, Operations = 55
347 Insertion 6175: Time = 900 ns, Operations = 55
348 Insertion 3956: Time = 900 ns, Operations = 55
349 Insertion 345: Time = 1400 ns, Operations = 55
350 Insertion 9287: Time = 1300 ns, Operations = 55
351 Insertion 806: Time = 1000 ns, Operations = 55
352 Insertion 7616: Time = 900 ns, Operations = 55
353 Insertion 8395: Time = 1000 ns, Operations = 59
354 Insertion 4297: Time = 1200 ns, Operations = 59
355 Insertion 7669: Time = 1000 ns, Operations = 55
356 Insertion 3269: Time = 1000 ns, Operations = 55
357 Insertion 5713: Time = 1000 ns, Operations = 55
358 Insertion 3447: Time = 1300 ns, Operations = 59
359 Insertion 8190: Time = 1000 ns, Operations = 59
360 Insertion 4236: Time = 800 ns, Operations = 55
361 Insertion 1149: Time = 800 ns, Operations = 55
362 Insertion 281: Time = 1000 ns, Operations = 55
363 Insertion 6647: Time = 1000 ns, Operations = 59
364 Insertion 6728: Time = 1000 ns, Operations = 59
365 Insertion 393: Time = 900 ns, Operations = 55
366 Insertion 6199: Time = 900 ns, Operations = 55
367 Insertion 2374: Time = 900 ns, Operations = 55
368 Insertion 4416: Time = 1100 ns, Operations = 59
369 Insertion 7319: Time = 1100 ns, Operations = 59
370 Insertion 1675: Time = 1000 ns, Operations = 55
371 Insertion 9993: Time = 1200 ns, Operations = 55
372 Insertion 3531: Time = 1100 ns, Operations = 55
373 Insertion 4323: Time = 1000 ns, Operations = 59
374 Insertion 6449: Time = 1000 ns, Operations = 59
375 Insertion 3635: Time = 1000 ns, Operations = 55
376 Insertion 727: Time = 1000 ns, Operations = 55
377 Insertion 4549: Time = 1000 ns, Operations = 55
378 Insertion 2127: Time = 2400 ns, Operations = 59
379 Insertion 6865: Time = 1800 ns, Operations = 59
380 Insertion 9830: Time = 1700 ns, Operations = 55
381 Insertion 3971: Time = 1200 ns, Operations = 55
382 Insertion 1947: Time = 1000 ns, Operations = 55
383 Insertion 5850: Time = 1300 ns, Operations = 59
384 Insertion 1734: Time = 3100 ns, Operations = 59
385 Insertion 8675: Time = 1200 ns, Operations = 55
386 Insertion 3022: Time = 1900 ns, Operations = 55
387 Insertion 6436: Time = 1400 ns, Operations = 55
388 Insertion 7500: Time = 1100 ns, Operations = 55
389 Insertion 1086: Time = 1200 ns, Operations = 55
390 Insertion 4835: Time = 1200 ns, Operations = 55
391 Insertion 5636: Time = 1000 ns, Operations = 55
392 Insertion 8284: Time = 1100 ns, Operations = 59
393 Insertion 7617: Time = 1100 ns, Operations = 59
394 Insertion 4235: Time = 900 ns, Operations = 55
395 Insertion 8221: Time = 1100 ns, Operations = 55
396 Insertion 5143: Time = 1100 ns, Operations = 55
397 Insertion 5388: Time = 1100 ns, Operations = 59
398 Insertion 1664: Time = 1000 ns, Operations = 59
399 Insertion 9498: Time = 1200 ns, Operations = 55
400 Insertion 657: Time = 1100 ns, Operations = 55
401 Insertion 1021: Time = 1100 ns, Operations = 55
402 Insertion 6772: Time = 1500 ns, Operations = 59
403 Insertion 3238: Time = 1200 ns, Operations = 59
404 Insertion 8269: Time = 1200 ns, Operations = 55
405 Insertion 3543: Time = 1000 ns, Operations = 55
406 Insertion 9365: Time = 1300 ns, Operations = 55
407 Insertion 4792: Time = 1300 ns, Operations = 59
408 Insertion 2264: Time = 1200 ns, Operations = 59
409 Insertion 4955: Time = 1200 ns, Operations = 55
410 Insertion 3727: Time = 1100 ns, Operations = 55
411 Insertion 589: Time = 1000 ns, Operations = 55
412 Insertion 2079: Time = 1100 ns, Operations = 59
413 Insertion 8217: Time = 1200 ns, Operations = 59
414 Insertion 751: Time = 1100 ns, Operations = 55
415 Insertion 7614: Time = 1200 ns, Operations = 55
416 Insertion 1918: Time = 1000 ns, Operations = 55
417 Insertion 5728: Time = 1300 ns, Operations = 59
418 Insertion 8464: Time = 1100 ns, Operations = 59
419 Insertion 5248: Time = 1000 ns, Operations = 55
